,repository_name,language
0,darwin-xnu,C
1,device-management,
2,dmel,Python
3,dmel-demo,HTML
4,dnikit,Python
5,eidas,Go
6,embedding-atlas,TypeScript
7,example-package-fisheryates,Swift
8,FHIRModels,Swift
9,foundationdb,C++
10,fstools,C
11,game-center-tools,Python
12,GCGC,Jupyter Notebook
13,highlightjs-pkl,JavaScript
14,homebrew-apple,Ruby
15,HomeKitADK,C
16,learning-compressible-subspaces,Python
17,learning-subspaces,Python
18,llvm-monorepo-root,
19,llvm-project-v5,C++
20,llvm-project-v5-split,C++
21,mapkit-loader,TypeScript
22,ml-4m,Python
23,ml-acn-embed,Python
24,ml-act,Python
25,ml-ademamix,Python
26,ml-afv,Python
27,ml-agent-evaluator,Jupyter Notebook
28,ml-agm,Python
29,ml-aim,Python
30,ml-all-pairs,Python
31,ml-ane-transformers,Python
32,ml-aspanformer,Python
33,ml-aspera,Python
34,ml-atoken,Jupyter Notebook
35,ml-aura,Python
36,ml-autofocusformer,Python
37,ml-autofocusformer-segmentation,Python
38,ml-batchquant,Python
39,ml-behavioral-testing-for-mt,
40,ml-bilevel-train-dist,Python
41,ml-bloop,Python
42,ml-calibration,Jupyter Notebook
43,ml-capsules-inverted-attention-routing,Python
44,ml-cifar-10-faster,Python
45,ml-clara,Python
46,ml-code-switched-speech-translation,Python
47,ml-codeswitching-translations,
48,ml-collegial-ensembles,Python
49,ml-comotion,Python
50,ml-compress-and-compare,Python
51,ml-constructive-circuit-amplification,Python
52,ml-core,Python
53,ml-covid-mobility,R
54,ml-cread,Python
55,ml-cross-entropy,Python
56,ml-cubifyanything,Python
57,ml-cvnets,Python
58,ml-cvpr2019-swd,Python
59,ml-dab,Python
60,ml-data-parameters,Python
61,ml-dataset-decomposition,Python
62,ml-delphi,
63,ml-depth-pro,Python
64,ml-destseg,Python
65,ml-diffucoder,Python
66,ml-diffusion-alignment-gflownet,Python
67,ml-direct2.5,Python
68,ml-divide-or-conquer,Python
69,ml-dms-dataset,Python
70,ml-dprecs,Jupyter Notebook
71,ml-dr,Python
72,ml-duet,Python
73,ml-egodex,Python
74,ml-encqa,Python
75,ml-entity-deduction-arena,Python
76,ml-entropy-reconstruction,Python
77,ml-envmapnet,Python
78,ml-epicache,Python
79,ml-equivariant-neural-rendering,Jupyter Notebook
80,ml-facelit,Python
81,ml-famae,Python
82,ml-fastvit,Python
83,ml-fastvlm,Python
84,ml-fct,Python
85,ml-ferret,Python
86,ml-finerecon,Python
87,ml-flair,Jupyter Notebook
88,ml-flextok,Jupyter Notebook
89,ml-fs-dfm,Python
90,ml-gaudi,
91,ml-gbc,Python
92,ml-genctrl,Python
93,ml-gendered-translation,Ruby
94,ml-gie-bench,Python
95,ml-gmpi,Python
96,ml-gsm-symbolic,
97,ml-gsn,Python
98,ml-hd-gist,Python
99,ml-heart-rate-models,Python
100,ml-hierarchical-confusion-matrix,TypeScript
101,ml-hilbert,Python
102,ml-hugs,Python
103,ml-hypercloning,Python
104,ml-hypersim,Python
105,ml-icr2,Python
106,ml-inrflow,Python
107,ml-interactive-data-augmentation,Svelte
108,ml-internal-llms-instruction-following,Python
109,ml-interspeech2022-phi_rtn,
110,ml-isqoe,Python
111,ml-jointnet,Python
112,ml-key-retrieval-code-tasks,Python
113,ml-keyframer,JavaScript
114,ml-kg-mt,Python
115,ml-kge,Python
116,ml-knowledge-conflicts,Python
117,ml-kpconvx,Python
118,ml-l3m,Python
119,ml-lineas,Python
120,ml-live-pose,
121,ml-llarp,Python
122,ml-loop,Python
123,ml-lucid-datagen,Python
124,ml-mad-bench,Jupyter Notebook
125,ml-matrix3d,Python
126,ml-mcf,Python
127,ml-mcp-repo-level-coding,Python
128,ml-mdm,Python
129,ml-mebp,Swift
130,ml-mgie,Python
131,ml-mia-bench,Jupyter Notebook
132,ml-MixupMP,Python
133,ml-mkqa,Python
134,ml-mobileclip,Python
135,ml-mobileclip-dr,Python
136,ml-mobileone,Swift
137,ml-mofi,Python
138,ml-multiple-futures-prediction,Python
139,ml-mycelium,JavaScript
140,ml-ncg,Python
141,ml-negative-sampling,Python
142,ml-neilf,Python
143,ml-neilfpp,Python
144,ml-neuman,Python
145,ml-no-token-left-behind,Jupyter Notebook
146,ml-np-rasp,Python
147,ml-nvas3d,Python
148,ml-ogen,Python
149,ml-omni-router-moe-asr,Python
150,ml-pararnn,Python
151,ml-persona-red-teaming,Python
152,ml-pfl4asr,Python
153,ml-pgdvs,Python
154,ml-planner,Python
155,ml-pointconvformer,Python
156,ml-pointersect,Python
157,ml-policy-projector,Python
158,ml-ppg-age-analysis,Python
159,ml-predict,Python
160,ml-primex,
161,ml-probabilistic-attention,Python
162,ml-projunit,Python
163,ml-pytod,Python
164,ml-qrecc,Python
165,ml-quant,Python
166,ml-recurrent-drafter,Python
167,ml-reed,Python
168,ml-reversal-blessing,Python
169,ml-rl-universal-sequence-design,Python
